,Latitude,Longitude,name,wheelchair,wheelchair:description,amenity,opening_hours,tourism,atm,website,cuisine,toilets:wheelchair,subway,tram,bus,railway,public_transport,PublicTraffic,What
6814,48.1306501,11.5994085,L'angolino,yes,,Restaurant,"Tu-Fr 10:00-20:00, Sa 10:00-16:00",,,https://www.langolino.de/,"Italian,Pizza,Pasta",,,,,,,,Restaurant
70,48.1870892,11.5839973,L'angolo,limited,,Restaurant,"Mo-Fr 11:00-24:00, Sa 17:00-24:00, Su closed",,,,Italian,,,,,,,,Restaurant
7961,48.1381895,11.5730505,LEGER AM DOM,limited,,Restaurant,Mo-Sa 10:30-24:00,,,https://www.legeramdom.de/,Regional,,,,,,,,Restaurant
13064,48.2019954,11.5556914,LGB Gartenbahn,yes,,,,Attraction,,,,,,,,,,,Attraction
9872,48.1253284,11.5503602,La Baguette,limited,,Fast Food,"Mo-Fr 08:00-15:00, PH,Sa,Su off",,,,"Pastry,Salad",,,,,,,,Fast Food
579,48.1325427,11.5973613,La Bodeguita,limited,,Pub,"Mo-Th 14:00-24:00, Fr-Su 14:00-02:00",,,,Caribbean,,,,,,,,Pub
11179,48.1730248,11.5868617,La Bohème,yes,,Restaurant,"Tu,Sa 17:00-24:00, We-Fr 12:00-24:00, Su,PH 11:00-15:00,17:00-23:00, Mo off",,,https://boheme-schwabing.de/,,,,,,,,,Restaurant
1632,48.1549888,11.6301722,La Cambusa,limited,Innen- und Außenbereich befahrbar.- kein Rolli-WC,Restaurant,,,,https://www.cambusa.de,Italian,,,,,,,,Restaurant
5782,48.1321223,11.6264838,La Cantinetta di Sergio Bolzan,limited,,Cafe,,,,https://www.bolzan.de/,Bistro,,,,,,,,Cafe
2455,48.1791081,11.5687822,La Casina,limited,,Restaurant,"Mo-Fr 12:00-14:30,18:00-22:30, PH off",,,http://www.la-casina.de/,Italian,,,,,,,,Restaurant
7660,48.1194571,11.5477323,La Certosa,limited,,Restaurant,"Mo-Fr 10:00-22:00, Sa 17:00-22:00",,,,Italian,,,,,,,,Restaurant
2140,48.1338676,11.5953364,La Cicchetteria,limited,,Pub,08:30-03:00,,,https://www.lacicchetteria.de/,,,,,,,,,Pub
6602,48.1397059,11.6025933,La Cucina Trattoria,limited,,Restaurant,Su-Sa 12:00-00:00,,,https://www.lacucina-trattoria.com/,Italian,,,,,,,,Restaurant
5743,48.126332,11.6738075,La Dolce Vita,limited,,Restaurant,"Mo-Sa 11:30-14:30, 17:30-22:30, Su 11:30-22:00",,,,Italian,,,,,,,,Restaurant
6483,48.0945317,11.5197752,La Donuteria München,limited,,Cafe,"Di-Fr 10:00-19.00, Sa 10:00-18:00, So 10:00-16:00",,,https://ladonuteria.eu/,"Donut,American",,,,,,,,Cafe
12213,48.1343232,11.5354574,La Dînette,limited,,Cafe,"Mo 10:30-18:00, Tu,Th 10:00-18:30, We 10:00-18:00, Fr 10:30-17:00, Sa-Su closed, PH closed",,,,,,,,,,,,Cafe
10562,48.13726,11.564054,La Fiesta,yes,,Fast Food,"Mo-Th 11:00-02:00, Fr-Sa 11:00-04:00, Su 16:00-22:00",,,,,,,,,,,,Fast Food
7453,48.143209,11.5454157,La Forchetta,yes,,Restaurant,"Mo-Fr 11:00-23:00, Sa 17:00-23:00",,,https://la-forchetta-munich.de/,Italian,,,,,,,,Restaurant
1128,48.1965851,11.5321995,La Giara,limited,,Restaurant,"Tu-Fr 11:30-14:30, 17:30-23:00, Sa-Su 11:30-23:00",,,,Italian,,,,,,,,Restaurant
2722,48.1138793,11.5836659,La Locanda (im Leonardo Hotel Residence),yes,,Restaurant,"We-Fr,Su 11:30-14:00, Su-Fr 18:00-23:00, Tu,Sa 18:00-23:00, Mo off",,,https://la-locanda-pr.de/,Italian,,,,,,,,Restaurant
5183,48.087488,11.6411127,La Locandiera,yes,,Restaurant,"Mo-Su 11:30-15:00,18:00-23:00",,,http://lalocandiera.de/,Italian,no,,,,,,,Restaurant
2841,48.1928894,11.6185441,La Lucania,limited,,Restaurant,"Tu-Su 11:30-14:30,17:30-23:00",,,,Italian,,,,,,,,Restaurant
3548,48.1520179,11.5288434,La Luna,limited,,Restaurant,"Mo-Fr 11:00-14:30,17:30-22:00, Sa 11:00-12:00,17:30-22:00, Su off",,,,"Italian,Pizza",,,,,,,,Restaurant
2743,48.1629127,11.5904791,La Maison,limited,kein Rolli - WC,Restaurant,,Hotel,,https://www.hotel-la-maison.com/,,,,,,,,,"Restaurant,Hotel"
8078,48.0996868,11.6304729,La Parmigiana,limited,,Restaurant,,,,,Italian,,,,,,,,Restaurant
229,48.0943417,11.6312156,La Passione,limited,,Restaurant,"Tu-Sa 11:30-14:30, 17:30-22:30, Su 11:30-21:30",,,,Italian,,,,,,,,Restaurant
742,48.1698215,11.5787798,La Piazza,yes,,Restaurant,,,,,,,,,,,,,Restaurant
5182,48.1228117,11.576011,La Sophia,yes,,Restaurant,"Mo-Fr 11:30-22:00, Su-Sa 10:00-22:00",,,https://lasophia.de/,Pizza,Fully Wheelchair Accessible,,,,,,,Restaurant
6507,48.1379761,11.6153311,La Spaghettata,limited,,Restaurant,,,,,Italian,,,,,,,,Restaurant
1944,48.1332057,11.5836412,La Taquería by Cometa,limited,,Fast Food,"Mo-Fr 11:30-21:00, Sa-Su 12:00-21:00",,,,Mexican,,,,,,,,Fast Food
10223,48.14661,11.5593117,La Tarti,limited,,Fast Food,Mo-Fr 08:00-15:00,,,http://latarti.de/,French,,,,,,,,Fast Food
4821,48.14632,11.531005,La Tasca nueva,limited,,Restaurant,Mo-Su 17:30-24:00,,,,"Spanish,Tapas",,,,,,,,Restaurant
4100,48.137212,11.5778153,La Valle,yes,,Restaurant,Mo-Su 10:30-00:30,,,,Italian,,,,,,,,Restaurant
1142,48.1134765,11.6506253,La Villetta,yes,,Restaurant,"Mo-Sa 11:30-14:30,17:30-23:00, Su 11:30-23:00",,,,Italian,,,,,,,,Restaurant
3806,48.1314909,11.589034,La casa de kebab,limited,,Fast Food,,,,,"Turkish,Kebab",,,,,,,,Fast Food
3072,48.1254995,11.5403445,LaBamba,limited,,Pub,,,,,,,,,,,,,Pub
3946,48.1012859,11.5238504,LaL QiLa,limited,,Restaurant,"Su-Fr 11:30-14:30,17:30-23:00, Sa 17:30-23:00",,,,Indian,,,,,,,,Restaurant
4052,48.1566063,11.5304443,Lachner Apotheke,limited,,Pharmacy,"Mo-Fr 08:30-18:30, Sa 08:30-13:00",,,https://www.lachner-apotheke.de/,,,,,,,,,Pharmacy
6353,48.1744879,11.585335,Lachoni,yes,,Restaurant,,,,,Italian,,,,,,,,Restaurant
7168,48.1377528,11.5437818,Ladencafé Marais,limited,,Cafe,"Tu-Sa 08:00-20:00, Su 10:00-18:00, Mo off",,,http://cafe-marais.de/,French,,,,,,,,Cafe
6002,48.1335861,11.5814376,Lago di Garda,limited,,Restaurant,Su-Sa 11:30-23:00,,,,Italian,,,,,,,,Restaurant
3750,48.1435004,11.5030585,Laim Bahnhof,yes,,,,,,,,,,,Bus Stop,,stop position,Bus Stop,Bus Stop
299,48.1352052,11.4996781,Laimer Platz,yes,,,,,,,,,,,Bus Stop,,stop position,Bus Stop,Bus Stop
835,48.1413818,11.4925452,Laimers,limited,Vom Biergarten kommt man mit Hilfe des netten Personals rein (eine kleine Stufe). Keine rollstuhlgerechtes WC.,Restaurant,"Mo-Fr 17:00-22:00, Sa,Su 10:00-22:00",,,https://www.laimers.com/,Regional,no,,,,,,,Restaurant
1596,48.1123871,11.5341026,Lamingtons,limited,,Cafe,"Tu-Sa 07:30-16:00, Su 08:00-16:00",,,,"Cake,Coffee Shop",,,,,,,,Cafe
12738,48.1654974,11.5649515,Lan Anh,yes,,Restaurant,Su-Fr 11:00-22:30,,,,Vietnamese,,,,,,,,Restaurant
5044,48.0886679,11.6076008,Landrichterstraße,yes,,,,,,,,,,,Bus Stop,,stop position,Bus Stop,Bus Stop
21,48.1527682,11.5371714,Landshuter Allee,limited,,,,,,,,,,,Bus Stop,,stop position,Bus Stop,Bus Stop
957,48.1968751,11.4147458,Langwieder See,yes,,,,Hotel,,https://www.langwiedersee.de/,,,,,,,,,Hotel
6790,48.1380683,11.6081479,Lara,limited,,Fast Food,"Mo-Fr 06:00-20:00, Sa 08:00-20:00, PH off",,,,Kebab,,,,,,,,Fast Food
2239,48.1983195,11.5355231,Lasallestraße,yes,,Taxi,,,,,,,,,,,,,Taxi
1149,48.1983459,11.5349133,Lassalle Apotheke,yes,,Pharmacy,"Mo,Tu,Th 08:00-13:00, 14:00-19:00, We,Fr 08:00-13:00, 14:00-18:30, Sa 08:00-13:00",,,,,,,,,,,,Pharmacy
782,48.139549,11.5181692,Lautensackstraße,yes,,,,,,,,,,Tram Stop,,,stop position,Tram Stop,Tram Stop
11613,48.1464629,11.4646379,Layalina,limited,,Cafe,,,,,,,,,,,,,Cafe
693,48.1295151,11.5889861,Le Jardin,limited,,Restaurant,,,,,Mediterranean,,,,,,,,Restaurant
6113,48.1390138,11.5580028,Le Méridien,yes,,,,Hotel,,,,,,,,,,,Hotel
9063,48.1241049,11.5874845,Le Plaisant,limited,,Restaurant,,,,,,,,,,,,,Restaurant
3290,48.1361721,11.5828423,Le Stollberg,limited,,Restaurant,"Mo-Fr 11:30-14:30,18:00-24:00, Sa 12:00-24:00",,,,French,,,,,,,,Restaurant
8262,48.1474943,11.5774607,LeDu - Happy Dumplings,limited,,Restaurant,"Mo-Th 11:30-21:30, Fr 11:30-22:00, Sa,PH 12:00-22:00, Su 12:00-21:30",,,,Chinese,,,,,,,,Restaurant
8733,48.1373724,11.5707067,LeDu Happy Dumplings & Noodle,limited,,Restaurant,Mo-Su 11:30-21:30,,,,Chinese,,,,,,,,Restaurant
11671,48.1867449,11.5627276,Lebara,limited,,Internet Cafe,"PH,Mo-Su 10:00-21:00",,,,,,,,,,,,Internet Cafe
290,48.1629956,11.5693919,Lebenslust Schwabing,limited,,Restaurant,Mo-Sa 16:00-02:00,,,,International,no,,,,,,,Restaurant
223,48.1397046,11.588165,Lehel,yes,,,,,,,,,Subway Station,,,,stop position,Subway Station,Subway Station
4235,48.1394654,11.5849716,Lehel Bar Food Club,limited,,Bar,Mo-Sa 11:00-03:00,,,https://www.lehel-bar.de/,,,,,,,,,Bar
1133,48.1295132,11.6944093,Lehrer-Wirth-Straße,yes,,,,,,,,,,,Bus Stop,,stop position,Bus Stop,Bus Stop
6534,48.0966597,11.5207596,Lehrinstitut Bencic,limited,Toilette nicht Rollstuhlgeeignet,College,,,,,,,,,,,,,College
900,48.1456195,11.593542,Leib und Seele,limited,,Restaurant,Mo-Su 09:00-01:00,,,,International,,,,,,,,Restaurant
5994,48.0787774,11.6724441,Leiberheim,yes,,Restaurant,"Tu-Sa 16:00+, Mo off, Su,PH 10:00+, Jan-Mar,Oct,Nov: Tu off, Dec 23-24,Dec 27-30: off",,,https://www.leiberheim.de/,Bavarian,,,,,,,,Restaurant
4961,48.1408543,11.5684269,Lenbachplatz,yes,,,,,,,,,,Tram Stop,,,stop position,Tram Stop,Tram Stop
5189,48.1259012,11.5980938,Leo's Lounge,limited,,Restaurant,"Mo-Th 10:30-01:00, Fr 10:30-03:00, Sa 10:30-23:00, Su 10:00-24:00",,,https://leos-lounge.de/,International,,,,,,,,Restaurant
2652,48.1138427,11.5837839,Leonardo Hotel & Residenz München,yes,,,,Hotel,,,,,,,,,,,Hotel
3905,48.160859,11.545148,Leonardo Hotel Munich City Olympiapark,limited,,,,Hotel,,https://www.leonardo-hotels.de/munich/leonardo-hotel-munich-city-olympiapark,,,,,,,,,Hotel
1769,48.1584205,11.5475107,Leonrod Apotheke,yes,,Pharmacy,"Mo-Fr 08:30-18:30, Sa 08:30-13:00",,,,,,,,,,,,Pharmacy
209,48.1598887,11.5469401,Leonrodplatz,yes,,,,,,,,,,Tram Stop,,,stop position,Tram Stop,Tram Stop
2075,48.1607017,11.5866785,Leopold Kinos 1+2+3,yes,Lift,Cinema,"Mo-Fr 14:15-20:45, Sa,Su 13:45-20:45",,,https://www.kino-zeit.de/kinoprogramm/muenchen/leopold-kino-muenchen,,Fully Wheelchair Accessible,,,,,,,Cinema
11673,48.1552678,11.5835052,Leopoldstraße,yes,,,,Attraction,,,,,,,,,,,Attraction
2499,48.1708729,11.564161,Lerchenapotheke,limited,,Pharmacy,"Mo-Fr 08:30-18:30, Sa 08:30-13:00",,,https://www.lerchen-apotheke-muenchen.de,,,,,,,,,Pharmacy
4285,48.1393096,11.5746415,Les Deux,yes,Rollstuhl-WC im UG ist über Lift erreichbar.,Restaurant,Mo-Sa 09:00-23:00,,,,French,Fully Wheelchair Accessible,,,,,,,Restaurant
7615,48.1344898,11.5979576,Letoon,yes,Mediterrane Spezialitäten,Fast Food,"Mo,Tu 11:30-14:00, Mo-Fr 17:00-20:00, We,Th 11:30-14:00,17:00-21:30, Fr 11:30-14:00,17:00-22:00, Sa,Su 12:00-21:30",,,,,,,,,,,,Fast Food
751,48.124826,11.6552939,Libellen-Apotheke,yes,,Pharmacy,"Mo-Fr 08:30-06:30, Sa 09:00-14:00",,,,,,,,,,,,Pharmacy
10046,48.1510652,11.4612956,Lichthof und Bar,yes,,Arts Centre,Mo-Su 10:00-23:00,,,,,Fully Wheelchair Accessible,,,,,,,Arts Centre
843,48.1407803,11.5906741,Liebighof im Lehel,limited,,Restaurant,"Mo-Fr 09:00-01:00, Sa-Su 17:00-01:00",,,https://www.liebighof.de/,Bavarian,,,,,,,,Restaurant
1584,48.1295677,11.5423436,Lieblingseck,yes,,Cafe,"Mo-Fr 06:30-18:00, PH,Sa,Su 07:00-12:00",,,,,,,,,,,,Cafe
1888,48.1350872,11.5762598,Liesl-Karlstadt-Brunnen,yes,,Fountain,,Attraction,,,,,,,,,,,"Fountain,Attraction"
12063,48.1542414,11.5613301,Lighthouse - Bibel. Musik. Feierabend.,limited,,Place of Worship,Tu 19:30-22:30,,,https://bibel-musik-feierabend.de/,,,,,,,,,Place of Worship
12182,48.1379118,11.5420043,Ligsalz8 - Das münchner Syndikatshaus,limited,,Community Centre,,,,https://ligsalz8.de,,,,,,,,,Community Centre
11540,48.1838448,11.5977779,Lihotzky,yes,,Community Centre,"""Verschiedene Veranstaltungen und Vermietungen""",,,https://www.lihotzky.org/,,,,,,,,,Community Centre
2267,48.1164443,11.5710595,Likavitos,limited,,Restaurant,"Mo-Fr 11:30-14:30, 16:30-22:00, Sa 14:00-22:00, Su 12:00-22:00",,,https://www.taverna-likavitos.com/,Greek,,,,,,,,Restaurant
353,48.2124296,11.5560008,Lilienapotheke,yes,,Pharmacy,"Mo-Fr 08:00-18:30, Sa 08:00-12:30",,,https://www.lilien-apotheke.de,,,,,,,,,Pharmacy
8495,48.1869801,11.6020316,Lilienthalallee Süd,yes,,,,,,,,,,,Bus Stop,,stop position,Bus Stop,Bus Stop
8287,48.1461988,11.4218281,Limes Pizza,yes,,Fast Food,"Mo-Su 11:00-22:00, Tu off",,,https://www.limespizza-muenchen.de,,,,,,,,,Fast Food
622,48.1442767,11.4609754,Linden-Apotheke,yes,,Pharmacy,"Mo-Fr 08:30-18:30, Sa 08:30-13:00",,,,,,,,,,,,Pharmacy
8551,48.1490325,11.5492208,Little Asia,limited,,Restaurant,"Mo-Fr 10:00-21:00, Sa 11:00-16:00",,,,Asian,,,,,,,,Restaurant
5739,48.1334,11.5766331,Little Daruma,yes,,Fast Food,"Mo-Fr 11:30-14:30,17:30-20:30, Sa 12:30-20:30",,,https://www.littledaruma.de/,Japanese,,,,,,,,Fast Food
9802,48.1356641,11.5808863,Little London Bar&Grill,yes,,Restaurant,"Tu-Sa 17:00-01:00, Dec 24-Dec 26 off, Su,Mo off",,,,Steak House,,,,,,,,Restaurant
271,48.1498059,11.5635544,Little Tokyo,limited,,Fast Food,"Mo-Fr 11:00-22:00, Su 12:00-22:00",,,,Sushi,,,,,,,,Fast Food
714,48.1228084,11.5649637,Living Hotel Hotel Prinzessin Elisabeth,yes,,,,Hotel,,,,,,,,,,,Hotel
5310,48.1566738,11.5661624,Lo Spuntino,limited,,Restaurant,"Mo-Fr 10:00-22:00, Sa 10:00-17:00, Su off",,,,Italian,,,,,,,,Restaurant
7371,48.109158,11.5025354,Locanda Busento,limited,,Restaurant,Mo-Su 11:30-23:30,,,,Italian,no,,,,,,,Restaurant
7850,48.1760215,11.4088446,Lochhausen,yes,,,,,,,,,,,,Train Station,station,Train Station,Train Station
10032,48.1778953,11.407414,Lochhausen Bahnhof,yes,,,,,,,,,,,Bus Stop,,stop position,Bus Stop,Bus Stop
1491,48.1623976,11.6287356,Lohengrin's,limited,Der Gastraum und die Toiletten sind ebenerdig erreichbar. Allerdings gibt es keine Toilette mit breiter Tür und die Toilettenräume sind für Rollstuhlfahrer viel zu eng. Das Personal ist freundlich und den Umgang mit rollstuhlfahrenden Gästen gewohnt.,Pub,Su-Sa 11:00-01:00,,,,,,,,,,,,Pub
1735,48.1645369,11.6220304,Lohengrinstraße,yes,,,,,,,,,,,Bus Stop,,stop position,Bus Stop,Bus Stop
300,48.1417607,11.4810375,Lohensteinstraße,yes,,,,,,,,,,,Bus Stop,,stop position,Bus Stop,Bus Stop
11098,48.1173731,11.5396367,Lokanta,yes,,Fast Food,"Mo-Fr 11:00-21:00, PH,Sa,Su 12:00-21:00",,,,"Kebab,Falafel,Pizza",,,,,,,,Fast Food
2542,48.1600678,11.5798338,Lorenzo Corno,yes,,Cafe,Mo-Su 11:00-23:00,,,,,,,,,,,,Cafe
7119,48.1211464,11.5573311,Los Bandidos,limited,,Restaurant,,,,https://www.los-bandidos.de/,Mexican,,,,,,,,Restaurant
2726,48.15549,11.57548,Los Faroles,limited,"Schwelle ca. 5-7 cm, kein Rolli-WC",Restaurant,"Mo 11:30-14:30, We-Tu 11:30-14:30, Fr 11:30-23:00, Sa-Su 17:00-23:00",,,,Spanish,,,,,,,,Restaurant
9173,48.1491212,11.5796565,Lost Weekend,limited,,Cafe,"Mo-Fr 08:00-20:00, Sa 10:00-20:00, Su, PH 12:00-18:00",,,,Coffee Shop,,,,,,,,Cafe
4489,48.1277038,11.5981239,Lothringer 13 Halle,limited,"Parken: 1 Platz Lothringer Straße 1, Zugang: im Innenhof, ebenerdig, WC: kein barrierefreies WC",Arts Centre,We-Su 11:00-19:00,,,https://www.lothringer13.com/,,,,,,,,,Arts Centre
3867,48.1540256,11.5361897,Lotto & Getränke Walter,limited,,Post Office,"Mo-Fr 07:00-19:00, Sa 08:00-18:00",,,,,,,,,,,,Post Office
11690,48.0903622,11.5074515,Lotto im Hagebau,yes,,Post Office,Mo-Sa 08:00-19:45,,,,,,,,,,,,Post Office
6576,48.0996545,11.53096,Lotus Thai Shiatsu Massage,limited,,Social Facility,,,,,,,,,,,,,Social Facility
5001,48.1013987,11.6430372,Love me tender,limited,,Restaurant,,,,,,,,,,,,,Restaurant
8238,48.1437326,11.5743816,Lucky Who,yes,,Bar,"Mo-We 19:30-01:00, Th-Sa 19:30-03:00",,,https://luckywho.de/,,,,,,,,,Bar
1250,48.1173606,11.5704855,Lucullus,limited,WC im EG. Kein Rollstuhl-WC vorhanden.,Restaurant,"Su 12:00-00:00, Mo-Sa 17:00-00:00",,,https://lucullus-muenchen.de/,Greek,,,,,,,,Restaurant
12346,48.1469826,11.5684595,Ludovico,yes,,Cafe,,,,,,,,,,,,,Cafe
1197,48.1500233,11.5942831,Ludwig-Maximilians-Universität,limited,,University,,,,https://www.lmu.de/de/,,Fully Wheelchair Accessible,,,,,,,University
3862,48.080949,11.5279936,Ludwigshöher Apotheke,yes,,Pharmacy,"Mo-Fr 08:00-18:30, Sa 08:00-13:00",,,,,,,,,,,,Pharmacy
6948,48.1132162,11.5177383,Luise-Kiesselbach-Platz,yes,,,,,,,,,,,Bus Stop,,stop position,Bus Stop,Bus Stop
12699,48.1473077,11.5681509,Luminous Link,yes,,,,Artwork,,,,,,,,,,,Artwork
8853,48.1382981,11.5778267,Lump und Stein - die Weinbar im Alten Hof,yes,,Bar,Mo-Su 15:00-01:00,,,https://www.lump-die-weinbar.de/,,Fully Wheelchair Accessible,,,,,,,Bar
741,48.1664005,11.5697797,Lupo,limited,,Restaurant,Mo-Su 11:30-22:00,,,https://www.tc-lupo.de/,,,,,,,,,Restaurant
8572,48.1637891,11.4861542,Lustheimstraße,yes,,,,,,,,no,,,Bus Stop,,stop position,Bus Stop,Bus Stop
2282,48.1618416,11.5896978,Lustspielhaus,yes,"Hohe Stufe, kein Rolli-WC, sehr enge Räumlichkeiten (kein Durchkommen),Zugang über Nebeneingang, Rampe vorhanden, Personal sehr hilfsbereit, bei rechtzeitiger Reservierung Rolliplätze direkt an der Bühne",Theatre,,,,,,no,,,,,,,Theatre
12672,48.1478587,11.5585918,Löwenbräukeller,limited,,Biergarten,"Mo-Th 11:00-23:00, Fr,Sa 11:00-24:00, Su 11:00-22:00",,,,,,,,,,,,Biergarten
1866,48.167347,11.6594785,Lübecker Straße,limited,,,,,,,,,,,Bus Stop,,stop position,Bus Stop,Bus Stop
12993,48.199302,11.6143801,Lützelsteiner Straße,limited,,,,,,,,,,,Bus Stop,,platform,Bus Stop,Bus Stop
6079,48.1367215,11.5428541,L’Adresse 37,limited,,Restaurant,Mo-Su 18:00-00:30,,,https://www.ladresse37.de/,French,,,,,,,,Restaurant
1959,48.0996286,11.530891,L’Incontro Ristorante Pizzeria,limited,Keine behindertengerechte Toilette,Restaurant,"Mo-Fr 11:00-22:00, Sa 16:30-22:00",,,,Italian,,,,,,,,Restaurant
2315,48.1311959,11.5715276,M. C. Mueller,limited,,Bar,Mo-Sa 18:00+,,,https://www.mcmueller.org/,Burger,no,,,,,,,Bar
9097,48.1907683,11.5715028,MDK Kantine,yes,,Restaurant,"Mo-Fr 11:00-13:15, Fr 08:00-09:00",,,,,,,,,,,,Restaurant
6967,48.1607418,11.5734947,MOP Integrativer Jugendtreff,yes,"Rolli-Toilette & Räume voll zugänglich, für Jugendliche mit & ohne Behinderung von 11-21 Jahren, Alle Infos unter http://mopjugendtreff.de. Unser inklusives Projekt MOPMania für junge Erwachsene von 18-27 Jahren, siehe http://MOPMania.de",Social Facility,,,,https://mopjugendtreff.de/,,Fully Wheelchair Accessible,,,,,,,Social Facility
11012,48.1350721,11.5774889,MUC,yes,,Bar,,,,,,,,,,,,,Bar
381,48.1030126,11.6022296,MVG-Museum,limited,,,"2019 Feb 03,2019 Feb 24,2019 Mar 09,2019 Mar 10,2019 Mar 24,2019 Apr 14,2019 Apr 21,2019 May 12,2019 May 26,2019 Jun 08,2019 Jun 09,2019 Jun 23,2019 Jul 07,2019 Jul 28 11:00-17:00, Aug off",Museum,,,,,,,,,,,Museum
12426,48.1358668,11.5025919,MVZ Radiologie München Süd West,yes,,Doctors,"Mo-Fr 7:30-21:00, Sa 08:00-13:00",,,https://radiologie-muenchen-suedwest.de/,,,,,,,,,Doctors
8840,48.1386088,11.5776716,MW Zentrum für Orthopädie und Sportmedizin,yes,,Doctors,,,,,,,,,,,,,Doctors
10220,48.1622839,11.5859687,Macchiato,yes,,Restaurant,"Mo-Fr 08:00-20:00, Sa 09:00-20:00, Su 09:00-19:00",,,http://www.cafemacchiato.de/,,,,,,,,,Restaurant
7415,48.1522792,11.5338044,Machwerk AtelierWerkstatt,limited,,,,Museum,,http://www.machwerk-muenchen.de,,,,,,,,,Museum
3335,48.138537,11.566739,Macinino,yes,,Cafe,Mo-Fr 08:00-20:00,,,,,no,,,,,,,Cafe
9324,48.1629107,11.5722799,Madame Boulos,yes,,Cafe,"Sa,Su 14:00-17:00",,,https://madame-boulos.de/,"Coffee,Cake,Confectionery",,,,,,,,Cafe
7614,48.1658895,11.5835506,Made in Portugal & Brasil Feinkost,limited,,Restaurant,,,,,,,,,,,,,Restaurant
5291,48.1410326,11.5767677,Maelu,limited,,Cafe,"Mo-Fr 10:30-18:00, Sa 10:30-19:00",,,https://maelu.de/,Chocolate,,,,,,,,Cafe
2021,48.1575882,11.5610305,Magic Woks,limited,,Fast Food,"Mo-Fr 11:00-14:30,17:00-22:30, Su 12:00-22:30, Sa off",,,http://www.magic-woks.de,Thai,,,,,,,,Fast Food
2159,48.1092191,11.5743578,Magnus Apotheke,yes,,Pharmacy,"Mo-Fr 08:30-19:00, Sa 09:00-13:00, Su,PH off",,,,,,,,,,,,Pharmacy
3924,48.1511086,11.5360448,Maharaja,limited,,Restaurant,"Su-Fr 11:30-14:30, 17:30-24:00, Sa 17:30-24:00",,,,Indian,,,,,,,,Restaurant
1421,48.1489776,11.5591403,Maharani,limited,,Restaurant,"11:30-15:00,17:30-24:00",,,,Indian,,,,,,,,Restaurant
4859,48.1328014,11.5774934,Mai Garten,yes,,Restaurant,"Mo-Sa 11:30-15:00,17:30-22:30, Su 17:00-22:30",,,,"Chinese,Dumpling",,,,,,,,Restaurant
1449,48.1492068,11.5462187,Mai Ly,limited,,Restaurant,"Mo-Fr 11:00-15:00, 17:00-21:00, Su 17:00-21:00",,,,Asian,,,,,,,,Restaurant
8861,48.1348381,11.5774488,Mailing,limited,,Restaurant,"Mo-Fr 10:00-18:00, Sa 9:30-17:00",,,,Asian,,,,,,,,Restaurant
118,48.1499883,11.5456047,Maillingerstraße,limited,,,,,,,,,Subway Station,,,Train Station,station,"Subway Station ,Train Station","Subway Station ,Train Station"
85,48.149262,11.4335377,Mainaustraße,yes,,,,,,,,,,,Bus Stop,,stop position,Bus Stop,Bus Stop
11442,48.1278614,11.5562868,Make Falafel not War,yes,,Fast Food,"Mo-Fr 10:30-20:00, Sa 11:30-18:00",,,http://www.makefalafelnotwar.de,Falafel,,,,,,,,Fast Food
3529,48.1564335,11.5402855,Malzraum,limited,,Restaurant,"Mo-Sa 18:00-24:00, Su 18:00-23:00",,,https://malzraum.de/,Bavarian,,,,,,,,Restaurant
1539,48.1286802,11.6140895,Mama Pizza,limited,,Fast Food,"Mo-Fr 11:00-13:40,17:00-22:15, Sa 11:00-22:15, Su 11:00-22:00",,,https://mama-pizza.de/,Pizza,,,,,,,,Fast Food
5858,48.128582,11.5721797,Mamma Mia,yes,,Fast Food,"Mo-Sa 11:00-24:00, Su,PH 12:00-23:00",,,,Italian,,,,,,,,Fast Food
8862,48.1794761,11.5696989,Mamma Mia Pizza,yes,,Fast Food,,,,,,no,,,,,,,Fast Food
2729,48.1521801,11.5738385,Man Fat,limited,,Restaurant,"We-Mo,PH 11:30-15:00,17:30-23:00",,,http://man-fat.de/,Chinese,,,,,,,,Restaurant
9044,48.1309884,11.5711081,Man Versus Machine Coffee Roasters,yes,,Cafe,"Mo-Fr 08:00-18:00, Sa-Su 09:00-18:00",,,https://mvsm.coffee/,,,,,,,,,Cafe
12333,48.1297075,11.5918541,Manam Thai Food & Sweets,yes,,Fast Food,"Mo-Su,PH 11:30-20:45",,,,Thai,,,,,,,,Fast Food
6123,48.136859,11.5797008,Mandarin China Restaurant,limited,Keine Behindertentoilette,Restaurant,"Mo-Su,PH 11:29-14:30,17:30-22:00",,,,Chinese,,,,,,,,Restaurant
101,48.0970601,11.5791773,Mangfallplatz,yes,,,,,,,,Fully Wheelchair Accessible,Subway Station,,,Train Station,station,"Subway Station ,Train Station","Subway Station ,Train Station"
2753,48.0964762,11.5777435,Mangfallplatz Süd,yes,,,,,,,,,,,Bus Stop,,stop position,Bus Stop,Bus Stop
12779,48.1375089,11.5733243,Mann mit ausgebreiteten Armen,yes,,,,Artwork,,,,,,,,,,,Artwork
2077,48.1160172,11.5699426,Manuelita,yes,,Childcare,,,,https://www.manuelita-kita.de,,,,,,,,,Childcare
8548,48.1804936,11.5013351,Margarete-Steiff-Straße,limited,,,,,,,,,,,Bus Stop,,stop position,Bus Stop,Bus Stop
